,location_1,location_2,location_3,location_4,location_5
2017-01-31,96.1,79.4,70.3,30.5,34.6
2017-02-06,102.9,83.1,81.6,33.3,35.9
2017-03-02,103.8,76.5,71.7,31.9,34.8
2017-03-14,87.4,69.6,62.9,19.7,30.8
2017-03-20,96.8,65.9,67.2,24.2,30.5
2017-04-11,98.7,63.7,67.7,25.7,35.5
2017-04-24,103.1,76.8,79.4,33.1,45.0
2017-05-09,97.4,77.9,76.3,37.2,45.5
2017-05-25,105.8,71.1,80.6,35.0,39.9
2017-06-06,104.9,72.1,77.9,41.5,45.1
2017-06-27,105.3,83.4,81.4,42.5,47.1
2017-07-10,114.3,87.0,91.2,50.5,43.4
2017-07-18,120.1,87.9,96.0,51.1,42.8
2017-07-30,110.3,69.7,77.2,34.6,37.0
2017-08-15,112.6,73.9,87.9,39.2,34.9
2017-08-24,98.3,61.6,70.5,28.4,31.3
2017-09-21,89.6,64.6,67.4,29.1,23.1
2017-10-05,97.5,71.6,80.3,28.7,21.3
2017-10-17,112.8,81.2,86.8,26.8,24.2
2017-11-04,102.9,69.0,70.1,22.3,25.9
2017-11-17,111.9,75.5,77.9,23.1,27.2
2017-11-30,121.7,81.6,78.8,31.3,32.8
2018-01-12,123.6,87.5,89.0,35.2,35.6
2018-01-24,106.3,75.2,60.5,26.8,34.6
2018-01-30,102.9,79.2,58.8,27.4,33.4
2018-02-14,113.3,84.7,78.5,36.0,41.3
2018-02-28,114.4,77.2,69.2,28.3,40.4
2018-03-20,115.8,83.6,79.8,43.2,53.7
2018-04-03,111.4,79.4,76.9,29.2,41.2
2018-04-27,114.9,81.4,88.6,35.6,53.6
2018-05-08,122.8,90.6,96.0,41.2,50.8
2018-05-15,112.5,73.9,77.7,26.9,48.7
2018-05-28,115.1,79.6,101.0,29.7,42.5
2018-06-13,119.1,67.7,80.9,16.9,31.4
2018-06-25,117.9,68.7,87.4,24.6,32.3
2018-07-16,115.9,70.1,81.3,13.5,29.7
2018-07-27,116.6,77.8,84.8,22.9,28.9
2018-08-10,124.8,84.5,92.1,24.9,30.8
2018-08-23,119.7,85.7,82.6,21.9,32.8
2018-09-05,113.5,78.0,81.4,12.9,27.2
2018-09-21,127.0,83.5,87.9,13.6,24.4
2018-10-18,123.4,84.3,82.8,13.6,21.0
2018-10-24,126.2,81.8,77.3,15.7,24.3
2018-11-07,121.4,83.5,87.6,17.2,29.7
2018-11-19,127.5,85.7,84.3,18.8,31.2
2018-11-29,121.0,84.0,76.3,19.0,29.5
2018-12-07,123.9,83.2,79.0,16.2,31.2
2018-12-17,122.9,90.3,78.8,19.0,29.6
2019-01-22,128.7,88.1,82.3,26.2,39.9
2019-02-05,129.0,88.3,77.4,28.6,41.8
2019-02-19,121.9,90.2,81.0,33.5,44.3
2019-03-07,117.3,88.2,79.8,29.5,43.9
2019-03-20,121.5,86.3,83.8,33.1,46.0
2019-04-05,115.3,88.3,86.4,34.2,44.6
2019-04-18,131.8,96.3,95.9,45.9,53.7
2019-05-01,120.0,85.5,85.8,39.1,51.8
2019-05-16,112.7,89.2,91.0,43.2,57.4
2019-06-03,105.6,80.3,80.5,29.1,56.7
2019-06-10,102.9,81.1,72.2,24.8,48.6
2019-07-01,114.3,88.0,80.4,23.1,42.6
2019-07-10,121.0,90.3,78.0,26.8,42.6
2019-07-23,131.1,96.0,92.1,40.3,54.4
2019-08-14,128.4,85.8,89.2,28.4,50.3
2019-08-26,118.8,78.7,78.4,14.2,44.4
2019-09-03,120.5,81.8,79.6,15.8,43.6
2019-09-23,125.8,79.4,79.4,12.6,34.7
2019-10-01,127.6,80.8,78.9,12.6,39.4
2019-10-15,121.9,76.6,82.3,12.6,37.5
2019-11-01,127.4,86.6,88.9,13.1,35.6
2019-11-14,126.7,87.5,82.9,13.0,38.9
2019-11-27,127.8,89.3,84.1,13.0,39.6
